codigo_estacion,nombre,latitud,longitud
01000005,Visviri,-17.595,-69.4831
01001005,Caquena,-18.0542,-69.2017
01010007,Chungara Reten,-18.2808,-69.1383
01010010,Chungara Ajata,-18.2353,-69.1833
01020002,Rio Desaguadero Cotacotani,-18.1936,-69.2458
01020014,Cotacotani,-18.1836,-69.2328
01020016,Chucuyo Reten,-18.2164,-69.2956
01020017,Parinacota Ex Endesa,-18.2042,-69.2683
01021001,Rio Lauca En Japu (O En El Limite),-18.5833,-69.0467
01021002,Rio Guallatire En Guallatire,-18.4931,-69.1494
01021007,Guallatire,-18.4983,-69.1547
01030003,Chilcaya,-18.7939,-69.0844
01041003,Colchane (T. Isluga),-19.2764,-68.6378
01041004,Enquelca (Ex Caraguano),-19.2289,-68.8044
01042002,Huaytani,-20.0003,-68.5706
01044001,Rio Cancosa En El Tambo,-19.8586,-68.5858
01050007,Coyacagua,-20.0531,-68.8075
01080001,Ujina,-20.9714,-68.6275
01200002,Villa Industrial (Tacora),-17.7719,-69.7244
01200003,Humapalca,-17.835,-69.7039
01201003,Rio Lluta En Alcerreca,-18.0036,-69.6331
01201005,Rio Caracarani En Humapalca,-17.8428,-69.6994
01201010,Alcerreca,-17.9931,-69.6594
01202012,Putre (Dcp),-18.195,-69.5589
01300006,Central Chapiquia,-18.3722,-69.5481
01300007,Belen,-18.4669,-69.5167
01300008,Tignamar,-18.5811,-69.4939
01300009,Rio Ticnamar En Angostura,-18.5133,-69.5656
01310018,Arica Oficina,-18.4775,-70.3208
01310019,Azapa,-18.5156,-70.1806
01410012,Codpa,-18.8322,-69.7439
01502007,Esquia,-18.9417,-69.5328
01502008,Rio Camarones En Chilpe,-18.9431,-69.6197
01610004,Q. Camia 3 Km. A. Arriba De Tarcavire,-19.1181,-69.2447
01611001,Camia,-19.3136,-69.4172
01700009,Coposa,-20.7086,-68.6942
01700010,Huara En Fuerte Baquedano,-20.1308,-69.7497
01720006,Chiapa,-19.5369,-69.205
01730007,Q. Tarapaca En Sibaya,-19.7831,-69.1433
01730017,Poroma,-19.8719,-69.1831
01730018,Lagunillas (Pampa Lirima),-19.9333,-68.8369
01730019,Mocha,-19.8097,-69.2731
01730020,Chuzmiza,-19.6831,-69.1833
01740001,Parca,-20.0122,-69.2033
01740002,Cerro Colorado,-20.065,-69.2703
01750003,Mamia,-20.0756,-69.2147
01820001,Iquique,-20.2153,-70.1361
02000001,Ollague,-21.2233,-68.2494
02020002,Ascotan,-21.7253,-68.2756
02101001,Rio Loa Antes Represa Lequena,-21.6558,-68.6622
02101003,Lequena,-21.6553,-68.6611
02102005,Quinchamale,-21.9053,-68.5964
02103009,Ojos San Pedro,-21.9706,-68.3128
02103010,Inacaliri,-22.0278,-68.0661
02103012,Silala,-22.0139,-68.0289
02103014,Rio Siloli Antes B.T. Fcab,-22.0103,-68.0269
02104002,Rio Loa En Salida Embalse Conchi,-22.0278,-68.6208
02104007,Conchi Viejo,-21.95,-68.7239
02104008,Conchi Embalse,-22.025,-68.6242
02104010,Chiu-Chiu,-22.3378,-68.6367
02105002,Rio Salado En Sifon Ayquina,-22.2894,-68.3447
02105014,Cupo,-22.1147,-68.3167
