codigo_estacion;nombre;latitud;longitud;comuna;provincia;region;pais
01000005;Visviri;-17.595;-69.4831;General Lagos;Parinacota Province;Arica y Parinacota;Chile
01001005;Caquena;-18.0542;-69.2017;Putre;Parinacota Province;Arica y Parinacota;Chile
01010007;Chungara Reten;-18.2808;-69.1383;Putre;Parinacota;Arica y Parinacota;Chile
01010010;Chungara Ajata;-18.2353;-69.1833;Putre;Parinacota;Arica y Parinacota;Chile
01020002;Rio Desaguadero Cotacotani;-18.1936;-69.2458;Putre;Parinacota Province;Arica y Parinacota;Chile
01020014;Cotacotani;-18.1836;-69.2328;Putre;Parinacota Province;Arica y Parinacota;Chile
01020016;Chucuyo Reten;-18.2164;-69.2956;Putre;Parinacota Province;Arica y Parinacota;Chile
01020017;Parinacota Ex Endesa;-18.2042;-69.2683;Putre;Parinacota;Arica y Parinacota;Chile
01021001;Rio Lauca En Japu (O En El Limite);-18.5833;-69.0467;Putre;Parinacota;Arica y Parinacota;Chile
01021002;Rio Guallatire En Guallatire;-18.4931;-69.1494;Putre;Parinacota Province;Arica y Parinacota;Chile
01021007;Guallatire;-18.4983;-69.1547;Putre;Parinacota Province;Arica y Parinacota;Chile
01030003;Chilcaya;-18.7939;-69.0844;Putre;Parinacota;Arica y Parinacota;Chile
01041003;Colchane (T. Isluga);-19.2764;-68.6378;Colchane;Tamarugal;Tarapacá;Chile
01041004;Enquelca (Ex Caraguano);-19.2289;-68.8044;Colchane;Tamarugal;Tarapacá;Chile
01042002;Huaytani;-20.0003;-68.5706;Pica;Tamarugal;Tarapacá;Chile
01044001;Rio Cancosa En El Tambo;-19.8586;-68.5858;Pica;Tamarugal;Tarapacá;Chile
01050007;Coyacagua;-20.0531;-68.8075;Pica;Tamarugal;Tarapacá;Chile
01080001;Ujina;-20.9714;-68.6275;Pica;Tamarugal;Tarapacá;Chile
01200002;Villa Industrial (Tacora);-17.7719;-69.7244;General Lagos;Parinacota;Arica y Parinacota;Chile
01200003;Humapalca;-17.835;-69.7039;General Lagos;Parinacota;Arica y Parinacota;Chile
01201003;Rio Lluta En Alcerreca;-18.0036;-69.6331;General Lagos;Parinacota;Arica y Parinacota;Chile
01201005;Rio Caracarani En Humapalca;-17.8428;-69.6994;General Lagos;Parinacota;Arica y Parinacota;Chile
01201010;Alcerreca;-17.9931;-69.6594;General Lagos;Parinacota;Arica y Parinacota;Chile
01202012;Putre (Dcp);-18.195;-69.5589;Putre;Parinacota;Arica y Parinacota;Chile
01300006;Central Chapiquia;-18.3722;-69.5481;Putre;Parinacota;Arica y Parinacota;Chile
01300007;Belen;-18.4669;-69.5167;Putre;Parinacota Province;Arica y Parinacota;Chile
01300008;Tignamar;-18.5811;-69.4939;Putre;Parinacota;Arica y Parinacota;Chile
01300009;Rio Ticnamar En Angostura;-18.5133;-69.5656;Putre;Parinacota;Arica y Parinacota;Chile
01310018;Arica Oficina;-18.4775;-70.3208;Arica;Arica;Arica y Parinacota;Chile
01310019;Azapa;-18.5156;-70.1806;Chile;Arica;Arica;Arica y Parinacota
01410012;Codpa;-18.8322;-69.7439;Camarones;Arica;Arica y Parinacota;Chile
01502007;Esquia;-18.9417;-69.5328;Camarones;Arica Province;Arica y Parinacota;Chile
01502008;Rio Camarones En Chilpe;-18.9431;-69.6197;Camarones;Arica;Arica y Parinacota;Chile
01610004;Q. Camia 3 Km. A. Arriba De Tarcavire;-19.1181;-69.2447;Colchane;Tamarugal;Tarapacá;Chile
01611001;Camia;-19.3136;-69.4172;Camiña;Tamarugal;Tarapacá;Chile
01700009;Coposa;-20.7086;-68.6942;Pica;Tamarugal;Tarapacá;Chile
01700010;Huara En Fuerte Baquedano;-20.1308;-69.7497;Pozo Almonte;Tamarugal;Tarapacá;Chile
01720006;Chiapa;-19.5369;-69.205;Huara;Tamarugal;Tarapacá;Chile
01730007;Q. Tarapaca En Sibaya;-19.7831;-69.1433;Huara;Tamarugal;Tarapacá;Chile
01730017;Poroma;-19.8719;-69.1831;Huara;Tamarugal;Tarapacá;Chile
01730018;Lagunillas (Pampa Lirima);-19.9333;-68.8369;Pica;Tamarugal;Tarapacá;Chile
01730019;Mocha;-19.8097;-69.2731;Huara;Tamarugal;Tarapacá;Chile
01730020;Chuzmiza;-19.6831;-69.1833;Huara;Tamarugal;Tarapacá;Chile
01740001;Parca;-20.0122;-69.2033;Pozo Almonte;Tamarugal;Tarapacá;Chile
01740002;Cerro Colorado;-20.065;-69.2703;Pozo Almonte;Tamarugal;Tarapacá;Chile
01750003;Mamia;-20.0756;-69.2147;Pozo Almonte;Tamarugal;Tarapacá;Chile
01820001;Iquique;-20.2153;-70.1361;Iquique;Iquique;Tarapacá;Chile
02000001;Ollague;-21.2233;-68.2494;Ollague;El Loa;Antofagasta;Chile
02020002;Ascotan;-21.7253;-68.2756;Ollague;El Loa;Antofagasta;Chile
02101001;Rio Loa Antes Represa Lequena;-21.6558;-68.6622;;;;
02101003;Lequena;-21.6553;-68.6611;;;;
02102005;Quinchamale;-21.9053;-68.5964;Calama;El Loa;Antofagasta;Chile
